sequence,condition,interleaves,noise,seed,region,parameter,requested_voxels,valid_voxels,invalid_voxels,mae,rmse,nrmse,bias
final,spiral_L16_noise0,16,0.0,2026,region_0,proton_density,128,128,0,0.06263436254509841,0.06801024757892211,0.06801024757892211,0.06263436254509841
final,spiral_L16_noise0,16,0.0,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,region_1,t2_ms,128,128,0,1.40625,5.303300858899107,0.05892556509887896,-1.40625
final,spiral_L16_noise0,16,0.0,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
final,spiral_L16_noise0,16,0.0,2026,region_1,proton_density,128,128,0,0.046812313563214684,0.05147803318877068,0.057197814654189626,0.04649503048867823
initial,cartesian_L1_noise0.001,1,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,all,t2_ms,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,all,proton_density,256,256,0,0.0013216015132671488,0.0016609217385913624,0.0017459221697718782,7.032236599239811e-05
initial,cartesian_L1_noise0.001,1,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_0,t2_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_0,proton_density,128,128,0,0.0014419960731287956,0.001805142025568349,0.001805142025568349,5.7867089834778146e-05
initial,cartesian_L1_noise0.001,1,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_1,t2_ms,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
initial,cartesian_L1_noise0.001,1,0.001,2026,region_1,proton_density,128,128,0,0.001201206953405502,0.0015029252512941908,0.0016699169458824338,8.277764215001808e-05
flip_only,cartesian_L1_noise0.001,1,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,all,t2_ms,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,all,fa,256,256,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,all,proton_density,256,256,0,0.0011262997324084437,0.0014193261714758685,0.0014919625478674243,4.698486471029894e-05
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_0,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_0,t2_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_0,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_0,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_0,proton_density,128,128,0,0.0011892939103914871,0.0014812502855540948,0.0014812502855540948,-1.6033613141220454e-06
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_1,t1_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_1,t2_ms,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_1,md_mm2_per_s,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_1,fa,128,128,0,0.0,0.0,0.0,0.0
flip_only,cartesian_L1_noise0.001,1,0.001,2026,region_1,proton_density,128,128,0,0.0010633055544254002,0.001354574159512356,0.0015050823994581727,9.557309073471992e-05
final,cartesian_L1_noise0.001,1,0.001,2026,all,t1_ms,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,all,t2_ms,256,256,0,0.0,0.0,0.0,0.0
final,cartesian_L1_noise0.001,1,0.001,2026,all,md_mm2_per_s,256,256,0,0.0,0.0,0.0,0.0
